Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,OppRushYds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Illinois,9,10.4,13.7,29.4,46.4,152.6,0.6,27.9,79.7,2.9,0.4,57.3,232.2,4.1,6.4,4.4,1.7,12.6,4.8,44.6,0.7,1.8,2.4
2,Michigan,9,12.1,16.4,31.6,52.1,170.0,0.8,27.9,72.4,2.6,0.4,59.4,242.4,4.1,7.6,4.4,1.2,13.2,3.7,38.2,0.3,0.9,1.2
3,Minnesota,9,14.2,16.6,28.2,58.7,162.9,0.9,28.8,110.7,3.8,0.7,57.0,273.6,4.8,7.6,6.2,0.8,14.6,5.4,45.2,0.4,1.1,1.6
4,Iowa,9,14.3,20.0,33.4,59.8,171.7,1.0,35.2,92.8,2.6,0.3,68.7,264.4,3.9,8.0,7.3,1.1,16.4,5.6,45.0,0.6,1.1,1.7
5,Ohio State,9,15.8,15.6,26.7,58.3,165.9,1.0,35.0,105.9,3.0,0.7,61.7,271.8,4.4,7.1,5.2,1.4,13.8,5.4,44.2,0.7,1.1,1.8
6,Wisconsin,9,20.6,18.1,30.3,59.7,212.0,1.3,34.0,113.7,3.3,1.3,64.3,325.7,5.1,9.3,5.9,1.8,17.0,5.2,52.0,0.2,1.7,1.9
7,Penn State,9,21.1,20.0,37.2,53.7,235.0,0.9,32.9,127.1,3.9,1.3,70.1,362.1,5.2,10.3,7.3,1.6,19.2,6.6,54.6,0.8,1.1,1.9
8,Maryland,9,24.0,22.6,37.4,60.2,239.7,1.7,36.4,137.8,3.8,1.2,73.9,377.4,5.1,10.8,8.3,3.2,22.3,4.4,38.1,0.6,0.8,1.3
9,Purdue,9,25.3,16.4,29.4,55.8,237.1,2.1,31.6,118.2,3.7,0.9,61.0,355.3,5.8,9.2,5.7,2.1,17.0,6.1,59.2,0.3,1.1,1.4
10,Rutgers,9,25.8,17.2,29.4,58.5,183.1,1.2,35.0,127.4,3.6,1.8,64.4,310.6,4.8,8.3,7.4,1.9,17.7,6.1,47.8,0.2,1.0,1.2
11,Michigan State,9,26.0,21.9,32.6,67.2,259.8,2.1,40.8,166.9,4.1,1.0,73.3,426.7,5.8,12.7,9.1,1.8,23.6,6.9,62.8,1.1,0.2,1.3
12,Northwestern,9,27.9,16.7,28.4,58.6,204.7,1.7,40.1,188.7,4.7,1.9,68.6,393.3,5.7,9.1,10.0,1.9,21.0,5.1,46.1,0.6,0.6,1.1
13,Nebraska,9,29.4,23.1,36.8,62.8,258.1,1.6,40.6,182.9,4.5,2.0,77.3,441.0,5.7,12.1,9.9,1.3,23.3,6.1,56.4,0.4,0.8,1.2
14,Indiana,9,32.2,22.0,34.2,64.3,264.4,2.3,43.7,157.3,3.6,1.4,77.9,421.8,5.4,11.8,8.6,1.9,22.2,8.3,75.0,0.7,0.7,1.3
4,USC,9,25.2,22.9,35.9,63.8,267.0,1.4,31.3,142.2,4.5,1.9,67.2,409.2,6.1,12.2,8.2,2.4,22.9,6.0,53.6,0.6,1.6,2.1
5,UCLA,9,25.6,24.2,37.4,64.7,248.0,1.8,34.0,124.4,3.7,1.1,71.4,372.4,5.2,11.6,8.8,2.1,22.4,5.9,52.6,0.6,1.0,1.6
